Frequency (Hz)	Level (dB)
1531.549072	-94.903755
1532.894897	-85.830223
1534.240723	-91.501709
1535.586548	-88.849144
1536.932373	-78.445915
1538.278198	-74.986290
1539.624023	-78.782097
1540.969849	-78.647636
1542.315674	-75.894226
1543.661499	-83.790993
1545.007324	-96.602631
1546.353149	-90.128021
1547.698975	-78.719124
1549.044800	-80.810989
1550.390625	-89.493347
1551.736450	-88.944687
1553.082275	-86.401993
1554.428101	-85.394073
1555.773926	-82.426636
1557.119751	-81.399300
1558.465576	-84.762009
1559.811401	-91.108810
1561.157227	-88.363457
1562.503052	-92.909447
1563.848877	-99.792824
1565.194702	-92.912201
1566.540527	-92.956711
1567.886353	-93.597763
1569.232178	-87.480812
1570.578003	-92.618057
1571.923828	-86.882881
1573.269653	-100.184631
1574.615479	-83.476799
1575.961304	-79.355339
1577.307129	-82.159859
1578.652954	-86.820084
1579.998779	-82.635628
1581.344604	-87.125900
1582.690430	-81.868340
1584.036255	-81.045395
1585.382080	-76.340683
1586.727905	-79.871933
1588.073730	-75.951538
1589.419556	-87.837997
1590.765381	-78.163727
1592.111206	-73.170410
1593.457031	-78.160568
1594.802856	-82.835068
1596.148682	-84.022346
1597.494507	-90.421959
1598.840332	-76.347252
1600.186157	-82.016327
1601.531982	-80.519905
1602.877808	-79.012215
1604.223633	-77.986687
1605.569458	-81.561607
1606.915283	-86.711609
1608.261108	-82.667076
1609.606934	-89.114204
1610.952759	-91.565521
1612.298584	-94.272575
1613.644409	-82.618881
1614.990234	-81.091064
1616.336060	-89.842682
1617.681885	-85.142700
1619.027710	-86.911957
1620.373535	-79.944382
1621.719360	-74.292809
1623.065186	-75.589638
1624.411011	-82.820480
1625.756836	-80.495674
1627.102661	-87.956184
1628.448486	-85.744781
1629.794312	-80.587509
1631.140137	-76.608978
1632.485962	-74.660469
1633.831787	-70.244453
1635.177612	-58.307095
1636.523438	-44.506889
1637.869263	-35.333359
1639.215088	-39.383785
1640.560913	-63.582794
1641.906738	-68.255676
